log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance
-38.93971633911133,5.492925643920898,10.802037239074707,-10.802037239074707,-38.93971633911133,5.492925643920898,10.802037239074707,-10.802037239074707,nan,nan,0,0,,,,,,,,
-38.93971633911133,3.590106964111328,10.738564491271973,-10.738564491271973,-38.93971633911133,3.590106964111328,10.738564491271973,-10.738564491271973,,,1,1,14.35708999633789,0.006125092506408691,-31.62432098388672,-7.507083892822266,14.35708999633789,0.006125092506408691,-31.62432098388672,-7.507083892822266
-38.93971633911133,3.520965576171875,10.677329063415527,-10.677329063415527,-38.93971633911133,3.520965576171875,10.677329063415527,-10.677329063415527,,,2,2,,,,,,,,
-38.93971633911133,4.450798034667969,10.6177339553833,-10.6177339553833,-38.93971633911133,4.450798034667969,10.6177339553833,-10.6177339553833,,,3,3,,,,,,,,
-38.93971633911133,4.73785400390625,10.559505462646484,-10.559505462646484,-38.93971633911133,4.73785400390625,10.559505462646484,-10.559505462646484,,,4,4,,,,,,,,
-38.93971633911133,3.668069839477539,10.50228500366211,-10.50228500366211,-38.93971633911133,3.668069839477539,10.50228500366211,-10.50228500366211,nan,nan,5,5,,,,,,,,
-38.93971633911133,4.738807678222656,10.445821762084961,-10.445821762084961,-38.93971633911133,4.738807678222656,10.445821762084961,-10.445821762084961,,,6,6,,,,,,,,
-38.93971633911133,4.594326019287109,10.389995574951172,-10.389995574951172,-38.93971633911133,4.594326019287109,10.389995574951172,-10.389995574951172,,,7,7,,,,,,,,
-38.93971633911133,5.567073822021484,10.334697723388672,-10.334697723388672,-38.93971633911133,5.567073822021484,10.334697723388672,-10.334697723388672,,,8,8,,,,,,,,
-38.93971633911133,3.9322376251220703,10.279879570007324,-10.279879570007324,-38.93971633911133,3.9322376251220703,10.279879570007324,-10.279879570007324,,,9,9,,,,,,,,
-38.93971633911133,5.008935928344727,10.225593566894531,-10.225593566894531,-38.93971633911133,5.008935928344727,10.225593566894531,-10.225593566894531,nan,nan,10,10,,,,,,,,
-38.93971633911133,3.633737564086914,10.171767234802246,-10.171767234802246,-38.93971633911133,3.633737564086914,10.171767234802246,-10.171767234802246,,,11,11,12.681007385253906,0.001704096794128418,-33.03616714477539,-6.332248210906982,12.681007385253906,0.001704096794128418,-33.03616714477539,-6.332248210906982
